,Title,FullPath,NumPages,DocumentInfo,ProcessingTime,ProcessingTimeOCR,ProcessingTimeOCR(ms)
33,B - Atrium I - No. 08.pdf,../../38. Rosicrucian/B - Atrium I - No. 08.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf006-1.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608125033Z', 'modDate': ""D:20200608144647+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:59:11,,0 days 00:00:40.407302
34,B - Atrium I - No. 09.pdf,../../38. Rosicrucian/B - Atrium I - No. 09.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf006-2.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608125514Z', 'modDate': ""D:20200608144647+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:59:51,,0 days 00:00:39.216712
35,B - Atrium I - No. 10.pdf,../../38. Rosicrucian/B - Atrium I - No. 10.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf006-3.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010817094845Z', 'modDate': ""D:20200608144648+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:00:31,,0 days 00:00:43.794521
36,B - Atrium I - No. 11.pdf,../../38. Rosicrucian/B - Atrium I - No. 11.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf006-4.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608130344Z', 'modDate': ""D:20200608144649+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:01:15,,0 days 00:00:47.430103
37,B - Atrium I - No. 12.pdf,../../38. Rosicrucian/B - Atrium I - No. 12.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf007-1.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608130947Z', 'modDate': ""D:20200608144649+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:02:02,,0 days 00:00:41.259242
38,B - Atrium I - No. 13.pdf,../../38. Rosicrucian/B - Atrium I - No. 13.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf007-2.PMD', 'author': 'simon', 'subject': '', 'keywords': '', 'creator': 'PageMaker 7.0', 'producer': 'Acrobat Distiller 6.0.1 (Windows)', 'creationDate': ""D:20040512110310+01'00'"", 'modDate': ""D:20200608144650+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:02:43,,0 days 00:00:43.765605
39,B - Atrium I - No. 14.pdf,../../38. Rosicrucian/B - Atrium I - No. 14.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf007-3.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608113855Z', 'modDate': ""D:20200608144650+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:03:27,,0 days 00:00:35.236786
40,B - Neophyte Guide.pdf,../../38. Rosicrucian/B - Neophyte Guide.pdf,12.0,"{'format': 'PDF 1.6', 'title': 'rf003-4.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010611142004Z', 'modDate': ""D:20200608144641+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:04:03,,0 days 00:00:33.940873
41,B - Neophyte Initiation Report.pdf,../../38. Rosicrucian/B - Neophyte Initiation Report.pdf,1.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20150321095005Z', 'modDate': 'D:20150321143052Z', 'trapped': '', 'encryption': None}",2021-06-02 13:04:37,,0 days 00:00:02.693684
42,B - Neophyte’s Great Oath.pdf,../../38. Rosicrucian/B - Neophyte’s Great Oath.pdf,1.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20150321143909Z', 'modDate': ""D:20200608144642+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 13:04:39,,0 days 00:00:03.837032
